chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,0,156,128,1800,78,1722,0,0,18:33:57.042874
128,2,0,0,256,0,0,0,0,0,0:00:00.000250
128,2,111,3759,2048,1800,1781,19,0,0,"1 day, 13:56:26.816152"
128,2,111,3759,2048,1800,1781,19,0,0,"1 day, 13:56:26.816152"
256,2,0,104,128,1800,52,1748,0,0,19:27:29.111412
128,2,111,3759,2048,1800,1781,19,0,0,"1 day, 13:56:26.816152"
256,2,0,104,128,1800,52,1748,0,0,19:27:29.111412
256,2,15,1906,256,1800,942,858,0,0,"1 day, 10:53:56.291980"
128,2,111,3759,2048,1800,1781,19,0,0,"1 day, 13:56:26.816152"
256,2,0,104,128,1800,52,1748,0,0,19:27:29.111412
256,2,15,1906,256,1800,942,858,0,0,"1 day, 10:53:56.291980"
256,2,67,3561,512,1800,1723,77,0,0,"1 day, 18:18:40.490765"
